neighborhood,description,space,price,bedrooms,agent,price_inc,address,interior,zip_code
<span>Stadsdeel Centrum</span>,,"65 m²,65 m²","€ 1.450,-,€ 1.450,-",1,,,,Furnished,1012 JV Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"130 m²,130 m²","€ 2.200,-,€ 2.200,-",3,,Quality of public transportation: Average,,Unfurnished,1098 XA Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"60 m²,60 m²","€ 1.985,-,€ 1.985,-",1,,,,Furnished,1012 JH Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"75 m²,75 m²","€ 3.000,-,€ 3.000,-",2,,Quality of public transportation: Good,,Furnished,1012 BM Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"55 m²,55 m²","€ 1.200,-,€ 1.200,-",1,,Quality of public transportation: Good,,Furnished,1082 BA Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"115 m²,115 m²","€ 2.200,-,€ 2.200,-",3,,Storage,,Furnished,1082 AZ Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"140 m²,140 m²","€ 2.500,-,€ 2.500,-",3,,,,Furnished,1012 BM Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"150 m²,150 m²","€ 2.200,-,€ 2.200,-",1,,,,"Furnished,or unfurnished",1012 EL Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"150 m²,150 m²","€ 4.000,-,€ 4.000,-",2,,Flooring: Wood,,Furnished,1011 DD Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"80 m²,80 m²","€ 1.500,-,€ 1.500,-",2,,Parking possibility,,Furnished,1012 EJ Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"60 m²,60 m²","€ 1.600,-,€ 1.600,-",1,,Price inclusive: Exclusive,,Furnished,1012 AE Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"65 m²,65 m²","€ 1.350,-,€ 1.350,-",1,,,,Unfurnished,1012 TN Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"65 m²,65 m²","€ 1.350,-,€ 1.350,-",1,,,,Unfurnished,1012 TN Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"60 m²,60 m²","€ 2.000,-,€ 2.000,-",1,,,,Unfurnished,1012 EJ Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"130 m²,130 m²","€ 3.250,-,€ 3.250,-",2,,Price inclusive: Exclusive,,Furnished,1011 BV Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"90 m²,90 m²","€ 1.650,-,€ 1.650,-",2,,,,Furnished,1012 GR Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"55 m²,55 m²","€ 1.499,-,€ 1.499,-",1,,Quality of public transportation: Good,,Furnished,1012 AE Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"65 m²,65 m²","€ 1.750,-,€ 1.750,-",1,,,,Unfurnished,1011 BT Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"100 m²,100 m²","€ 2.250,-,€ 2.250,-",2,,Bath tub,,Unfurnished,1011 BT Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"55 m²,55 m²","€ 1.450,-,€ 1.450,-",1,,Storage,,Furnished,1012 AE Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"65 m²,65 m²","€ 1.350,-,€ 1.350,-",1,,,,Unfurnished,1012 TN Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"65 m²,65 m²","€ 1.550,-,€ 1.550,-",1,,Quality of public transportation: Average,,Furnished,1012 AE Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"95 m²,95 m²","€ 2.600,-,€ 2.600,-",2,,Quality of public transportation: Good,,Unfurnished,1015 AC Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"75 m²,75 m²","€ 1.500,-,€ 1.500,-",1,,,,Furnished,1012 AE Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"68 m²,68 m²","€ 1.800,-,€ 1.800,-",1,,,,Furnished,1015 AC Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"70 m²,70 m²","€ 1.500,-,€ 1.500,-",1,,,,Furnished,1012 VC Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"75 m²,75 m²","€ 1.500,-,€ 1.500,-",2,,,,Furnished,1012 TA Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"55 m²,55 m²","€ 1.750,-,€ 1.750,-",1,,Bath tub,,Furnished,1013 GA Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"80 m²,80 m²","€ 1.700,-,€ 1.700,-",1,,Quality of public transportation: Good,,"Furnished,or unfurnished",1013 GA Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"50 m²,50 m²","€ 1.750,-,€ 1.750,-",1,,,,"Furnished,or unfurnished",1013 GA Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"50 m²,50 m²","€ 1.750,-,€ 1.750,-",1,,,,"Furnished,or unfurnished",1015 AA Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"55 m²,55 m²","€ 1.650,-,€ 1.650,-",1,,Quality of public transportation: Good,,Furnished,1013 GA Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"50 m²,50 m²","€ 1.490,-,€ 1.490,-",1,,,,Furnished,1013 GA Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"75 m²,75 m²","€ 1.650,-,€ 1.650,-",1,,,,Furnished,1012 TA Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"115 m²,115 m²","€ 2.990,-,€ 2.990,-",2,,Flooring: Wood,,Furnished,1012 VC Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"100 m²,100 m²","€ 2.390,-,€ 2.390,-",1,,Bath tub,,Furnished,1012 VC Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"60 m²,60 m²","€ 2.000,-,€ 2.000,-",2,,,,Furnished,1012 RD Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"70 m²,70 m²","€ 1.375,-,€ 1.375,-",1,,,,Furnished,1012 SZ Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"45 m²,45 m²","€ 1.200,-,€ 1.200,-",1,,Quality of public transportation: Good,,Unfurnished,1012 NE Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"58 m²,58 m²","€ 1.550,-,€ 1.550,-",2,,,,Furnished,1012 RD Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"100 m²,100 m²","€ 1.700,-,€ 1.700,-",2,,Price inclusive: Exclusive,,Furnished,1017 AX Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"100 m²,100 m²","€ 1.700,-,€ 1.700,-",2,,Price inclusive: Exclusive,,Furnished,1017 AX Amsterdam (Noord-Holland)
